species,thousand_seed_weight_g,seeds_per_gram,seeds_per_oz,seeds_per_lb,material,collection_location
Euphorbia serpens Kunth,0.2260,4424.8,125440,2007046,seed,"Debrecen, HU"
Filago minima (Sm.) Pers.,0.0200,50000.0,1417475,22679618,achaenium,"Létavértes, HU"
Foeniculum vulgare Mill.,5.5250,181.0,5131,82098,achaenium,"Keszthely, HU"
Galeopsis bifida Boenn.,3.0170,331.5,9397,150345,carcerulus,"Körmend, HU"
Galeopsis pubescens Besser,2.8320,353.1,10010,160167,carcerulus,"Marburg, DE"
Galeopsis segetum Neck.,1.9390,515.7,14621,233931,carcerulus,"Marburg, DE"
Galium divaricatum Lam.,0.1390,7194.2,203953,3263254,mericarp,"Caen, FR"
Galium parisiense L.,7.4660,133.9,3797,60754,mericarp,"Budapest, HU"
Galium pumilum Murray,0.8800,1136.4,32215,515446,mericarp,"Rouen, FR"
Galium sylvaticum L.,0.7860,1272.3,36068,577090,mericarp,"Brussels, BE"
Galium tricornutum Dandy,10.9700,91.2,2584,41348,mericarp,"Brussels, BE"
Gentiana cruciata L.,0.1220,8196.7,232373,3717970,seed,"Budapest, HU"
Geranium bohemicum L.,8.3410,119.9,3399,54381,seed,"Copenhagen, DK"
Geranium palustre L.,3.4890,286.6,8125,130006,seed,"Leipzig, DE"
Geranium sibiricum L.,2.6730,374.1,10606,169694,seed,"Leipzig, DE"
Geranium sylvaticum L.,7.0030,142.8,4048,64771,seed,"Caen, FR"
Ginkgo biloba L.,1289.4290,0.8,22,352,seed,"Gyula, HU"
Glaucium corniculatum (L.) Rudolph,0.9810,1019.4,28899,462378,seed,"Brno, CZ"
Glaucium flavum Crantz,1.0740,931.1,26396,422339,seed,"Brno, CZ"
Globularia bisnagarica L.,0.6570,1522.1,43150,690399,achaenium,"Budapest, HU"
Glycine max (L.) Merr.,164.8700,6.1,172,2751,seed,"Szabadkígyós, HU"
Gypsophila perfoliata L.,0.3370,2967.4,84123,1345971,seed,"Miskolc, HU"
Gypsophila scorzonerifolia Ser.,0.5320,1879.7,53289,852617,seed,"Vácrátót, HU"
Helianthemum canum (L.) Baumg.,1.3680,731.0,20723,331573,seed,"Leipzig, DE"
Helianthemum nummularium (L.) Mill.,1.3700,729.9,20693,331089,seed,"Leipzig, DE"
Helianthus laetiflorus Pers.,7.7620,128.8,3652,58438,achaenium,"Vácrátót, HU"
Helianthus tuberosus L.,6.0920,164.1,4654,74457,achaenium,"Vácrátót, HU"
Heracleum mantegazzianum Sommier & Levier,9.8810,101.2,2869,45906,achaenium,"Oulu, FI"
Herniaria hirsuta L.,0.0590,16949.2,480500,7688006,seed,"Rouen, FR"
Hippuris vulgaris L.,0.9760,1024.6,29047,464746,seed,"Bakonybél, HU"
Hydrocotyle leucocephala Cham. & Schltdl.,0.2900,3448.3,97757,1564112,achaenium,"Kiskunfélegyháza, HU"
Hydrocotyle verticillata Thunb.,0.6730,1485.9,42124,673986,achaenium,"Kiskunfélegyháza, HU"
Hydrocotyle vulgaris L.,0.5100,1960.8,55587,889397,achaenium,"Balatonfenyves, HU"
Iberis umbellata L.,2.6120,382.8,10854,173657,seed,"Brussels, BE"
Impatiens balfourii Hook. f.,4.1630,240.2,6810,108958,seed,"Tata, HU"
Iva xanthiifolia Nutt.,1.0220,978.5,27739,443828,achaenium,"Rostock, DE"
Jacobaea aquatica (Hill) G. Gaertn. & al.,0.3020,3311.3,93873,1501961,achaenium,"Copenhagen, DK"
Juncus maritimus Lam.,0.0230,43478.3,1232587,19721407,seed,"Hegykő, HU"
Kitaibela vitifolia Willd.,3.2730,305.5,8662,138586,mericarp,"Budapest, HU"
Lactuca perennis L.,1.6810,594.9,16865,269835,achaenium,"Marburg, DE"
Lactuca sativa L.,1.1220,891.3,25267,404271,achaenium,"Tápiószele, HU"
Lathyrus vernus (L.) Bernh.,16.0380,62.4,1768,28282,seed,"London, UK"
