species,behaviour,uncertain,provisional,thousand_seed_weight_g,evidence
Acacia galpinii,orthodox,yes,,177,"(Tietema et al., 1992)"
Acacia gaumeri,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, vVP. Oldest collection 1 year"
Acacia glaucescens,orthodox,,,,"40% germination following 16 years open storage at room temperature (Ewart, 1908)"
Acacia glomerosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 11 years; germination change 100 to 90%, 10 years, 1 collection"
Acacia grandicornuta,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Acacia gregii,orthodox,,,,"little loss in viability after 4 years hermetic storage at 4�C and -IS0C (Kay et aL, 1988)"
Acacia gummifera,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Acacia harpophylla,orthodox,,,,"rapid loss in viability at room temperature, however viability maintained for S years at -20�C (Coaldrake, 1971)"
Acacia hebeclada,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Acacia hemsleyi,orthodox,,,,"air-dried seeds stored at room temperature maintained for 13 years (Doran et aL, 1983)"
Acacia holosericea,orthodox,,,,"11 % viability lost after 14 years storage at room temperature (Doran et al., 1983)"
Acacia humifusa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia implexa,orthodox,,,,seeds are maintained in the long-term seed store at DFSC
Acacia inaequilatera,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia kirkii,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 5 years"
Acacia koa,orthodox,,,,"viability maintained after 25 years (Whitesell, 1974)"
Acacia laeta,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 4 years"
Acacia lanigera,orthodox,,,,"26% germination following 20 years open storage at room temperature (Ewart, 1908)"
Acacia lateriticola,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia latescens,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia legnota,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia leprosa,orthodox,,,,"29% germination following 47 years open storage at room temperature (Ewart, 1908)"
Acacia leptocarpa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia leptopetala,orthodox,,,,"viability maintained for 18 years in air-dry storage at room temperature (Doran et al., 1983)"
Acacia leucophloea,orthodox,yes,,,"viability maintained after 2 years at room temperature (Dent, 1948)"
Acacia ligulata,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia longifolia,orthodox,,,,"12% germination following 50 years open storage at room temperature (Ewart, 1908)"
Acacia lunata,orthodox,,,,"25% germination following 48 years open storage at room temperature (Ewart, 1908)"
Acacia lysiphloia,orthodox,,,,"air-dried seeds stored at room temperature maintained for 9 years (Doran et aL, 1983)"
Acacia macracantha,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Acacia macradenia,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia macrostachya,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, ""VP. Oldest collection 4 years"
Acacia mangium,orthodox,yes,,,"(Langkamp & Plaisted, 1987); little loss in viability (6%) after 1.2 years storage at 4�_5�C (Yap & Wong, 1983)"
Acacia melanoxylon,orthodox,,,14.3,"12% germination following 51 years open storage at room temperature (Ewart, 1908); viability maintained for at least 20 years in open storage at room temperatur"
Acacia merrallii,orthodox,,,,"6% germination following 10 years open storage at room temperature (Ewart, 1908)"
Acacia millefolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Acacia mimula,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia modesta,orthodox,,,,"viability maintained for at least 1 year (Dent, 1948); viability is lost within 3 years in hermetic storage at room temperature with 13�2% mc (Kaul, 1979); seed"
Acacia mollis,orthodox,,,,"20% viability lost after 15 years storage at room temperature (Doran et aL, 1983)"
Acacia mollissima,orthodox,yes,,,"viability is lost within 3 years in hermetic storage at room temperature with 13�2% mc (Kaul, 1979)"
Acacia montana,orthodox,,,,"11 % germination following 40 years open storage at room temperature (Ewart, 1908)"
Acacia murrayana,orthodox,,,,"viability maintained for 14 years in air-dry storage at room temperature (Doran et al., 1983)"
Acacia myrtifolia,orthodox,,,,"20% germination following 51 years open storage at room temperature (Ewart, 1908)"
Acacia neovernicosa,orthodox,,,,"long-term storage under IPGru preferred conditions at RBG Kew, WP"
Acacia neriifolia,orthodox,,,,"4% germination following 17 years open storage at room temperature (Ewart, 1908)"
Acacia nervosa,orthodox,,,,"4% germination following 30 years open storage at room temperature (Ewart, 1908)"
Acacia nigrescens,orthodox,yes,,,"(Tietema et aL, 1992)"
Acacia nilotica,orthodox,,,,"viability can be maintained for several years in hermetic storage at lOoC with 4.5-9% mc (Albrecht, 1993); seeds are maintained in the long-term seed store at D"
Acacia nubica,orthodox,,,,seeds are maintained in the long-term seed store at DFSC
Acacia oncinocarpa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia oswaldi,orthodox,,,,"45% germination following 10 years open storage at room temperature (Ewart, 1908)"
Acacia oxycedrus,orthodox,,,,"viability is lost by 23% after 16 years storage at room temperature (Doran et ai., 1983)"
Acacia pendula,orthodox,,yes,,"36% viability lost after 8 years storage at room temperature (Doran et al., 1983)"
Acacia penninervis,orthodox,,,,"13% germination following 57 years open storage at room temperature (Ewart, 1908)"
Acacia pentadenia,orthodox,,,,"15% germination following 30 years open storage at room temperature (Ewart, 1908)"
Acacia planifrons,orthodox,yes,,,"viability maintained for at least 2 years (Dent, 1948)"
Acacia platycarpa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia plectocarpa,orthodox,,,,"viability maintained for 13 years in air-dry storage at room temperature (Doran et ai., 1983)"
Acacia podalyriifolia,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia polybotrya,orthodox,,yes,,"viability maintained for 8 years in air-dry storage at room temperature (Doran et al., 1983)"
Acacia polyphylla,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Acacia polystachya,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia polystychya,orthodox,,,,"long-term storage at UTA Genebank (Ng et aI., 1993)"
Acacia pruinocarpa,orthodox,,,,"20% viability lost after 16 years storage at room temperature (Doran et aI., 1983)"
Acacia pulchella,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia pycnantha,orthodox,,,,"80% germination following 16 years open storage at room temperature (Harrington, 1972)"
Acacia pyrifolia,orthodox,,yes,,"viability maintained for 6 years in air-dry storage at room temperature (Doran et aI., 1983)"
Acacia quadrimarginea,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia riparia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Acacia robusta,orthodox,yes,,160,"(Tietema et ai., 1992)"
Acacia rostellifera,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia rothii,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia salicina,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia saligna,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia schweinfurthii,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Acacia senegal,orthodox,,,,"5% germination following 51 years open storage at room temperature (Ewart, 1908); viability maintained for 6 years with air-dried seeds stored at room temperatu"
Acacia seyal,orthodox,,yes,50,"viability can be maintained for several years in hermetic storage at lOoC with 4.5-9% mc (Albrecht, 1993)"
Acacia shirleyi,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia sinisii,orthodox,,,,"23% germination following 31 years open storage at room temperature (Harrington, 1972)"
Acacia sophorae,orthodox,,,,"(Langkamp & Plaisted, 1987); seeds are maintained in the long-term seed store at DFSC"
Acacia spathulata,orthodox,,yes,,viability maintained for 6 years with air-dried seeds stored at
Acacia spectabalis,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia suaveolens,orthodox,,,,"4% germination following 51 years open storage at room temperature (Ewart, 1908)"
Acacia tenuissima,orthodox,,yes,,"10% viability lost after 6 years storage at room temperature (Doran et al., 1983)"
Acacia terminalis,orthodox,,,,"16% germination following 30 years open storage at room temperature (Harrington, 1972)"
Acacia tortilis,orthodox,,,,"long-term storage at DFSC; under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 4 years"
Acacia tracycarpa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia urophylla,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia vernicijlua,orthodox,,,,"5% germination following 41 years open storage at room temperature (Ewart, 1908)"
Acacia victoriae,orthodox,,,,"10% viability lost after 14 years storage at room temperature (Doran et aI., 1983)"
Acacia visco,orthodox,,yes,,"seeds are maintained at FSB, Argentina (Abraham de Noir, 1991)"
Acacia vypres,orthodox,,,,"3% germination following 55 years open storage at room temperature (Ewart, 1908)"
Acaena anserinifolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 79 to 100%, 13 years, 1 collection"
Acaena argentea,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP; germination change 100 to 72.7%, 17 years, 1 collection"
Acaena novae-zelandiae,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 18 years; germination change 100 to 100%, 13 years, 1 collection"
Acaena ovalifolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 19 years; germination change 85 to 85.7%, 18 years, 1 collection"
Acampe papillosa,orthodox,,,,">75% germination after 2 months hermetic storage at -10�C with pre-dried seeds (Bowling & Thompson, 1972; cited by Pritchard & Seaton, 1993)"
Aciphylla subflabellata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 6 years"
Aconitum firmum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
