species,behaviour,uncertain,provisional,thousand_seed_weight_g,evidence
Macroptilium bracteatum,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 11 years; germination change 100 to 100%, 10 years, 1 collection"
Macroptilium lathyroides,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 11 years; germination change 100 to 100%, 10 years, 1 collection"
Macrotyloma africanum,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Macrotyloma axillare,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Macrotyloma tenuiflorum,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Macrozamia reidlei,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Madhuca butyraceae,recalcitrant,yes,,,"viability lost within 5 days in open storage at room temperature (Campbell, 1980)"
Madhuca latifolia,recalcitrant,yes,,,"short-lived (Dent, 1948); viability lost within 3 months in hermetic storage at room temperature with 13�2% mc (Kaul, 1979); viability lost within 1 month in op"
Madhuca longifolia,recalcitrant,yes,,,"short-lived (Dent, 1948); complete loss in viability after 20 days storage in paper bags at 28.5�C and 67% r.h. (Vanangamudi & Palanisamy, 1989)"
Magnolia acuminata,orthodox,,yes,83,"viability maintained for several years in hermetic air-dry storage at O�C to 5�C (Olson et al., 1974)"
Magnolia fraseri,orthodox,,yes,100,"viability maintained for several years in hermetic air-dry storage at O�C to 5�C (Olson et al., 1974)"
Magnolia grandiflora,orthodox,,,71.5,"viability maintained for several years in hermetic air-dry storage at O�C to 5�C, however viability is lost within 6 months in open storage at room temperature "
Magnolia macrophylla,orthodox,,,,"dry seeds (mc not reported) surVIve overnight m liquid nitrogen (Pence, 1991a)"
Magnolia virginiana,orthodox,,yes,59,"viability maintained for several years in hermetic air-dry storage at O�C to 5�C (Olson et aL, 1974)"
Magydaris panacifolia,orthodox,yes,,,"(Garcia & Duran, 1989)"
Malesherbia linearifolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP (germination <75%)"
Malus baccata,orthodox,yes,,,"no loss in viability following over 2 years hermetic storage at 3�C to 10�C with <11% mc (Crossley, 1974a)"
Malus coronaria,orthodox,yes,,,"no loss in viability following over 2 years hermetic storage at 3�C to 10�C with <11 % mc (Crossley, 1974a)"
Malus diversifolia,orthodox,yes,,,"no loss in viability following over 2 years hermetic storage at 3�C to 10�C with <11 % mc (Crossley, 1974a)"
Malus domestica,orthodox,,,50,"96% germination after 7 years air-dry storage at _5�C (Solovieva, 1978); 100% germination after 6 months hermetic storage at _7�C with 4.5% mc (Sanada et aL, 19"
Malus floribunda,orthodox,yes,,,"no loss in viability following over 2 years hermetic storage at 3�C to 10�C with <11 % mc (Crossley, 1974a)"
Malus ioensis,orthodox,yes,,,"no loss in viability following over 2 years hermetic storage at 3�C to 10�C with <11 % mc (Crossley, 1974a)"
Malus pumila,orthodox,yes,,,"no loss in viability following over 2 years hermetic storage at 3�C to 10�C with <11 % mc (Crossley, 1974a)"
Malus sikkimensis,orthodox,,,,"long-term storage, ambient/silica gel drying and -20�C at RBG Kew, WP. Oldest collection 3 years"
Malus zumi,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 19 years; germination change 81 to 75%, 14 years, 1 collection"
Malva crispa,orthodox,,,,"50% germination following 5 years open storage at room temperature (Ewart, 1908); long-term storage under IPGru preferred conditions at RBG Kew, WP. Oldest coll"
Malva moschata,orthodox,,,,"12% germination after 42 years storage in paper bags at room temperature (Crocker, 1938); long-term storage under IPGru preferred conditions at RBG Kew, WP. Old"
Malva neglecta,orthodox,,yes,,"8% germination after 5 years open storage at room temperature (Comes et aL, 1978)"
Malva rotundifolia,orthodox,,,,"4% germination after 16 years storage at room temperature (Harrington, 1972)"
Malva sylvestris,orthodox,,,,"long-term storage under IPGru preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Malva verticillata,orthodox,,,,"long-term storage under IPGru preferred conditions at RBG Kew, WP. Oldest collection 18 years; germination change 100 to 100%, 13 years, 1 collection"
Malvastrum americanum,orthodox,,,,"long-term storage under IPGru preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Malvastrum vitifolium,orthodox,,,,"10% germination after 15 years storage at room temperature (Harrington, 1972)"
Mandragora autumnalis,orthodox,,,,"long-term storage under IPGru preferred conditions at RBG Kew, WP. Oldest collection 17 years; germination change 95 to 90%, 12 years, 1 collection"
Manglietia glauca,orthodox,yes,,,"seeds are able to dry to 17% mc without loss in viability, no loss in viability following 12 months moist storage at 5�-lOoC with 20-25% mc, mixed with moist sa"
Manglietia insignis,recalcitrant,yes,,,"seeds do not stand long storage (Dent, 1948)"
Manilkara jaimiqui,intermediate,yes,,,"short-lived in open storage (Mensa & Acosta, 1990)"
Manilkara longifolia,intermediate,yes,,,"loss in viability after 3 years storage at 2�_5�C (Reis et ai., 1980)"
Manilkara mayarensis,intermediate,yes,,,"short-lived in open storage (Mensa & Acosta, 1990)"
Manilkara rufala,intermediate,yes,,,"loss in viability after 4 years storage at 2�_5�C (Reis et ai., 1980)"
Mansonia altissima,intermediate,yes,,,"initial germination 39%, 6% germination after 12 months hermetic storage at -ISoC with 11 % me, loss in viability at -ISoC with 7% me (Gyimah, 1984)"
Marathrum haenkeanum,orthodox,yes,,,"97-100% germination after 18 months dry storage at 22�C (Philbrick & Novelo, 1994)"
Marathrum rubrum,orthodox,yes,,,"100% germination after 18 months dry storage at 22�C (Philbrick & Novelo, 1994)"
Marrubium supinum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 16 years; germination change 93 to 100%, 14 years, 1 collection"
Marrubium vulgare,orthodox,,,,"viability is halved following 3 years open storage at room temperature (Ewart, 1908); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest "
Martynia proboscidea,orthodox,yes,,,"viability is halved following 1-2 years open storage (Ewart, 1908)"
Matayba granulosa,recalcitrant,yes,,,"loss in viability during 6 months open storage at room temperature (Reis et al., 1980)"
Maurandya erubescens,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; germination change 100 to 85%,13 years, 1 collection"
Mauritia flexuosa,recalcitrant,,,,"(Dr I.D. Kossmann Ferraz, pers. com.)"
Maxillaria valenzuelana,orthodox,,,,">75% germination after 6 months hermetic storage at -lOoC (Bowling & Thompson, 1972; cited by Pritchard & Seaton, 1993)"
Meconopsis betonicifolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 19 years; germination change 100 to 86.2%,18 years, 1 collection"
Meconopsis cambrica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 17 years; germination change 98 to 77%, 16 years, 1 collection"
Meconopsis dhwojii,orthodox,,,,"long-term storage, ambient/silica gel drying and -20�C at RBG Kew, WP. Oldest collection 2 years"
Meconopsis discigera,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Meconopsis horridula,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 21 years; average germination change 96 to 90%, mean storage period 16 year"
Meconopsis latifolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; germination change 100 to 100%, 13 years, 1 collection"
Meconopsis paniculata,orthodox,,,,"no loss in viability after 2 years hermetic storage at 4�C and -20�C, while complete loss at 20�C (Sulaiman, 1993)"
Meconopsis simplicifolia,orthodox,,,,"no loss in viability after 2 years hermetic storage at 4�C and -20�C, while complete loss at 20�C (Sulaiman, 1993)"
Meconopsis villosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Medicago arabica,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 17 years; average germination change 100 to 100%, mean storage period 14 ye"
Medicago ciliaris,orthodox,,,,"a few seeds survive 40 years in paper bags at room temperature (Crocker, 1938); long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collec"
Medicago coronata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years; germination change 100 to 100%, 11 years, 1 collection"
Medicago disci,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 17 years; average germination change 98.7 to 96.7%, mean storage period 12 "
Medicago indicus,orthodox,,,,"10% germination following 40 years open storage at room temperature (Ewart, 1908)"
Medicago intertexta,orthodox,,,,"7% germination following 40 years storage at room temperature (Harrington, 1972); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest coll"
Medicago littoralis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years; germination change 85 to 100%, 12 years, 1 collection"
Medicago lupulina,orthodox,,,1.7,"67% germination following 50 years open storage at room temperature (Ewart, 1908); pso = 8.76 years for seeds under open storage in a temperate climate (Priestl"
Medicago marina,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years; germination change 80 to 86%,11 years, 1 collection"
Medicago minima,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 17 years; average germination change 96.5 to 97.1 %, mean storage period 13"
Medicago monspeliaca,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years; average germination change 100 to 100%, mean storage period 11 ye"
Medicago murex,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 22 years"
Medicago polymorpha,orthodox,,,2.7,"4% germination following 17 years storage at room temperature (Ewart, 1908); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collectio"
Medicago rigidula,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 17 years; average germination change 96.9 to 98.8%, mean storage period 13 "
Medicago rugosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; average germination change 97.7 to 98.3%, mean storage period 13 "
Medicago sativa,orthodox,,,2,"20% germination following 50 years open storage at room temperature (Ewart, 1908); 22% germination following 78 years storage (Turner, 1933); seeds are safely s"
Medicago scutellata,orthodox,,,,"95% and 43% germination following 7 and 15 years open storage at room temperature, respectively (Ewart, 1908); long-term storage under IPGRI preferred condition"
Medicago truncatula,orthodox,,,,"3% germination following 54 years storage at room temperature (Harrington, 1972); a few seeds survive following 43 years storage in paper bags at room temperatu"
Medicago tuberculata,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 17 years; average germination change 95.8 to 97.5%, mean storage period 12 "
Melaleuca acacioides,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca armillaris,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca bracteata,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca cuticularis,orthodox,,,0.045,"0% initial germination with seeds at 8.1% mc, 0% to 8% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, 1993)"
Melaleuca dealbata,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca huegelii,orthodox,,,0.32,"0% initial germination with seeds at 14.5% mc, 0% to 3% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, 1993)"
Melaleuca hypericifolia,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca leucadendron,orthodox,,yes,0.59,"(Langkamp & Plaisted, 1987); no loss in viability after 4 years storage at 30% and up to 75% r.h. at lOoC (Akamine, 1951)"
Melaleuca nervosa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca nodosa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca preissiana,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca pubescens,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca quinquenervia,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca radula,orthodox,,,0.075,"55% initial germination with seeds at 22.1 % mc, 15% to 42% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, 19"
Melaleuca saligna,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca squamea,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, ''''Po Oldest collection 15 years; germination change 95 to 100%, 14 years, 1 collection"
Melaleuca squarrosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, \VP. Oldest collection 1 year"
Melaleuca stenostachya,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca symphyocarpa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melaleuca uncinata,orthodox,,,0.04,"(Langkamp & Plaisted, 1987); 80% initial germination with seeds at 19.2% mc, 2% to 82% germination after 14 days storage in liquid nitrogen depending on pretrea"
Melaleuca viridifolia,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Melampyrum arvense,orthodox,,,,"long-term storage, ambient/silica gel drying and -20�C at RBG Kew, WP. Oldest collection 8 years"
Melia birmanica,orthodox,,yes,,"viability maintained for more than 3 years in hermetic storage at room temperature with 13�2% me (Kaul, 1979)"
Melicoccus bijugatus,recalcitrant,,,,"seeds are senSlUve to desiccation, 100% germination following 10 weeks storage at 15�C and 75% r.h., but no seeds remain viable after 17 weeks, whereas 100% ger"
Melicope ternata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Melilotus albus,orthodox,,,1.8,"52% and 18% germination following 44 and 77 years open storage at room temperature, respectively (Ewart, 1908); a few seeds survive following 81"
Melilotus altissimus,orthodox,,,,"26% germination following 38 years open storage at room temperature (Ewart, 1908); a few seeds germinate after 43 years storage in paper bags at room temperatur"
Melilotus indicus,orthodox,,,1.5,"17% germination following 50 years open storage at room temperature (Ewart, 1908); 22% germination following 82 years storage (Harrington, 1972); long-term stor"
Melilotus infestus,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 91 to 100%, 13 years, 1 collection"
Melilotus italicus,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 99 to 100%, 13 years, 1 collection"
Melilotus lutea,orthodox,,,,"a few seeds survive 55 years in herbarium (Becquerel, 1934)"
Melilotus messanensis,orthodox,,,,"1% germination following 45 years open storage at room temperature (Ewart, 1908); long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest coll"
Melilotus neapolitanus,orthodox,,,,"1% germination following 45 years storage (Harrington, 1972); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; ave"
Melilotus officinalis,orthodox,,,1.8,"30% germination following 55 years in herbarium (Becquerel, 1934); a few seeds survive 41 years in paper bags at room temperature (Crocker, 1938); longterm stor"
Melilotus siculus,orthodox,,,,"6% germination following 51 years storage at room temperature (Harrington, 1972)"
Melilotus sulcatus,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 99 to 96%,13 years, 1 collection"
Melilotus wolgicus,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 100 to 100%, 14 years, 1 collection"
Meliosma thomsoni,recalcitrant,yes,,,"seeds cannot be stored (Dent, 1948)"
Melissa officinalis,orthodox,,yes,,"viability is halved following 4 years open storage at room temperature (Ewart, 1908); seeds maintained for 2-3 years in commercial storage conditions (Priestley"
Menodora spinescens,orthodox,,,,"no loss in viability after 7 years hermetic storage at -lSoC (Kay et aL, 1988)"
Mentha aquatica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Mentha arvensis,orthodox,,,,no problem for long-term storage under IPGRI preferred conditions (SSLR)
Mentha pulegium,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Mentha rotundifolia,orthodox,,,,"viability maintained after 8 years hermetic storage at -18�C (Montezuma-De-Carvalho et al., 1984)"
Mentha suaveolens,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Mentzelia lindleyi,orthodox,,,,"seeds can be maintained for 3 years in commercial storage conditions (Priestley, 1986); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldes"
Metrosideros polymorpha,orthodox,,,,"(Drake, 1992) Comment: Poor viability is mainly due to low percentage of seeds with viable embryoes, only 8. 7% of the seeds contained embryoes (Drake, 1992)."
Metrosideros tetrapetala,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Michelia doltsopa,orthodox,yes,,87,"seeds can be stored for about 2 months with care (Dent, 1948); seeds can be dried, but viability is short at ambient temperature (Campbell, 1980); viability is "
Microdesmis caseariaefolia,orthodox,,yes,,"seeds can be stored for ""long periods of time"" (Doai Van Nguyen, pers. comm.)"
Microdesmis keamyana,orthodox,,,,"long-term storage at UTA genebank (Ng et al., 1993)"
Micromeria nervosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 21 years; germination change 100 to 100%, 18 years, 1 collection"
Millettia aboensis,orthodox,,,,"long-term storage at UTA Genebank (Ng et aL, 1993)"
Millettia drastica,orthodox,,,,"long-term storage at UTA Genebank (Ng et aL, 1993)"
Millettia pinnata,orthodox,yes,,,"viability maintained for 1 year in open storage at room temperature (Kandya, 1987)"
Millettia rhodantha,orthodox,,,,"long-term storage at UTA Genebank (Ng et aL, 1993)"
Millettia stuhlmannii,orthodox,,,,"long-term storage at UTA Genebank (Ng et aL, 1993)"
Millettia thonningii,orthodox,,,,"long-term storage at UTA Genebank (Ng et aL, 1993)"
Mimosa aculeatricarpa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Mimosa asperata,orthodox,,,,"36% germination following 26 years open storage at room temperature (Ewart, 1908)"
Mimosa blanchetii,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 11 years; germination change 100 to 100%, 10 years, 1 collection"
Mimosa distachya,orthodox,,,,"a few seeds germinate following 52 years open storage at room temperature (Ewart, 1908)"
Mimosa dysocarpa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Mimosa glomerata,orthodox,,,,"a few seeds germinate following 52 years storage (Ewart, 1908); a few seeds germinate following 158 years in herbarium (Becquerel, 1934)"
Mimosa himalayana,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 11 years; germination change 80 to 100%, 10 years, 1 collection"
Mimosa invisa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Mimosa ophthalmocentra,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 11 years; average germination change 100 to 90%, mean storage period 10 yea"
Mimosa pigra,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 4 years"
Mimosa polydactyla,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years; germination change 100 to 98%, 11 years, 1 collection"
Mimosa pudica,orthodox,,,,"21 % germination following 44 years open storage at room temperature (Ewart, 1908); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest co"
Mimosa scabrella,orthodox,,,,seeds are maintained in the long-term seed store at DFSC
Mimosa sensitiva,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Mimosa tenuiflora,orthodox,,yes,,seeds are maintained at ESNACIFOR Honduras
Mimosa verrucosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Mimulus cardinalis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 16 years; germination change 100 to 84%,14 years, 1 collection"
Mimulus glabratus,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; germination change 100 to 85%,13 years, 1 collection"
Mimulus lewissii,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; average germination change 100 to 98%, mean storage period 14 yea"
Mimulus moschatus,orthodox,,yes,,"seeds maintained for 3-6 years in commercial storage conditions (Priestley, 1986)"
Mimusops coxburghiana,recalcitrant,yes,,,"short-lived (Mensa & Acosta, 1990)"
Mirabilis jalapa,orthodox,,yes,,"seeds can be maintained for 3-5 years in commercial storage conditions (Priestley, 1986)"
Mirbelia dilatata,orthodox,,,2.3,"80% initial germination with seeds at 11.5% me, 52% to 68% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, 199"
Mirbelia oxyloboides,orthodox,,,,"38% and 12% germination following 10 and 16 years open storage at room temperature, respectively (Ewart, 1908)"
Mirbelia reticulata,orthodox,,,,"75% and 3% germination following 10 and 47 years open storage at room temperature, respectively (Ewart, 1908)"
Misopates orontium,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 24 years"
Mitracarpus lhotzkyanus,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 11 years; germination change 100 to 89.6%, 10 years, 1 collection"
Mitracarpus villosus,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 4 years"
Mitragyna parvifolia,orthodox,yes,,,"(Athaya, 1985)"
Modiola caroliniana,orthodox,,,,"3% germination following 50 years storage at room temperature (Harrington, 1972)"
Modiola multifida,orthodox,,,,"10% germination after 15 years storage at room temperature (Harrington, 1972)"
Moghania rhodocarpa,orthodox,yes,,,"(Almeida et aL, 1990)"
Monarda austromontana,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Monarda fistulosa,orthodox,,,,"dry seeds (me not reported) survive overnight in liquid nitrogen (Pence, 1991a)"
Montezuma specosissma,intermediate,,,,"viability is reduced to 16% on desiccation to 8.3% mc with no further loss in viability following 9 months subsequent hermetic storage at _5�C, while viability "
Moringa oleifera,orthodox,,yes,238,"(Caceres et aL, 1991); viability can be maintained for several years in hermetic storage at 3�C with 5-8% me (Albrecht, 1993); seeds are maintained at ESNACIFOR"
Moringa stenopetala,orthodox,,yes,238,"viability can be maintained for several years in hermetic storage at 3�C with 5-8% mc (Albrecht, 1993)"
Morus alba,orthodox,,,,"viability maintained for several years in hermetic storage at room temperature (Dent, 1948); more than 3 years in hermetic storage at room temperature with 13�2"
Morus indica,orthodox,yes,,2,"(Dent, 1948)"
Morus laevigata,orthodox,yes,,2.3,"(Dent, 1948)"
Morus lhou,orthodox,,yes,,">90% germination following 7 years hermetic storage at room temperature with 4.1-4.7% me (Takagi, 1939)"
Morus multicaulis,orthodox,,,,"high germination after 14 years storage at laboratory temperatures with 4% me (Harrington, 1972)"
Morus rubra,orthodox,,,,"hermetic air-dry storage at -20�C recommended (Read & Barnes, 1974)"
Most species,recalcitrant,yes,,,Leon (1961) classified this genus in the short-lived seed class.
Mucuna gigantea,orthodox,,,500,"60% germination following 11 years open storage at room temperature (Ewart, 1908)"
Mucuna nigricans,orthodox,yes,,715,"seeds can be stored dried but rapid loss in viability occurs during storage at room temperature (Campbell, 1980)"
Mucuna pruriens,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Mucuna sloanei,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Mucuna urens,orthodox,,yes,,"20% germination following 5 years open storage at room temperature (Ewart, 1908)"
Muehlenbeckia australis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 6 years"
Mundulea sericea,orthodox,,,,"long-term storage under IPGRI preferred conditions at REG Kew, WP. Oldest collection 4 years"
Muntingia calabura,orthodox,yes,,,"viability maintained for >12 months in air-dry storage at 3�C (Riley, 1981)"
Murraya exotica,intermediate,,,40,"seeds tolerate desiccation to 6% me, however viability is lost by 38% and 64% after 24 hours storage at 5�C and _5�C, respectively (Chin et ai., 1984)"
Musa acuminata,intermediate,,,,"Darjo & Bakry (1990) reported that viability was reduced on desiccation. For example, viability of seeds dried at 30�-32�C and 75% r.h. (seed mc not reported) w"
Musa balbisiana,intermediate,yes,,,"no loss in viability following 24 months' storage in a desiccator (relative humidity or seed mc not reported) at room temperature, while seeds stored in cloth b"
Musa gracilis,intermediate,yes,,,"seeds survive desiccation to 8-10% mc (Boyce, 1989)"
Musa violascens,intermediate,,,,"viability is reduced from 96% to 37% on desiccation to 10% mc, only 25% survive 3 months subsequent cryo-storage in liquid nitrogen (Chin & Krishnapillay, 1989)"
Myosurus minimus,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; average germination change 99.5 to 90%, mean storage period 12 ye"
Myrciaria caulijlora,recalcitrant,yes,,,"seeds can not be dried (Harrington, 1972); viability can be maintained for 6 months with partially dried seeds and 5�C (Riley, 1981)"
Myrica carolinensis,orthodox,yes,,,"air-dry storage (Barton, 1932b)"
Myrica cerifera,orthodox,yes,,8,"(Krochmal, 1974)"
Myrica gale,orthodox,,yes,,"no loss III viability during 6 years dry storage at 5�C (Schwintzer & Ostrofsky, 1989)"
Myrica pensylvanica,orthodox,,,,"56% germination following 15 years hermetic storage at 3�C (Heit, 1967c); viability maintained for 9 months in air-dry storage with wax-coated seeds at room tem"
Myrica serrata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Myriocarpa longipes,orthodox,,yes,,"no loss in viability following 3 years storage in paper bags at room temperature (ca. 20�C) (Orozco-Segovia & Vazquez-Yanes, 1990)"
Myrrhis odorata,orthodox,yes,,,"viability is halved following 1 years open storage (Ewart, 1908); seeds maintained for 1-2 years in commercial storage conditions (Priestley, 1986)"
Myrsine africa,orthodox,,,,"seeds are maintained in the long-term seed store at PGRC/Ethiopia (Zewdie, 1994)"
Myrtus communis,orthodox,yes,,33.7,"viability can be maintained for more than 2 years in hermetic air-dry storage at 5�C (Riley, 1981)"
Myrtus dombeyi,recalcitrant,,,,"seeds are sensitive to desiccation, only 7.S% germinate following 1 month open storage at ISoC and 7S% r.h., no seeds germinate following 1 month open storage a"
Napaea dioica,orthodox,,,,"dry seeds (mc not reported) survive overnight m liquid nitrogen (Pence, 1991a)"
Napoleonaea imperalis,recalcitrant,,,,"(Ng et at., 1993)"
Narthecium ossifragum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Nauclea diderrichii,orthodox,,,,"long-term storage at IITA genebank (Ng et at., 1993)"
Nauclea latifolia,orthodox,,,,"long-term storage at IITA genebank (Ng et at., 1993)"
Navarretia squarrosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 96 to 98%,15 years, 1 collection"
Nectandra membranacea,recalcitrant,,,,"seeds are sensitive to desiccation and must be stored at >50% me (Gonzalez, 1991; Gonzalez & Gonzalez, 1991)"
Nelumbium asperifolium,orthodox,,,,"seeds survive 48 years in herbarium (Dent, ] 942)"
Nelumbo nucifera,orthodox,,,,"some seeds germinate following 17 years open storage at room temperature (Ewart, 1908); a few seeds survive 237 years in herbarium (Dent, 1942); some seeds surv"
Nemesia grandiflora,orthodox,,yes,,"viability is halved after 6 years storage under laboratory conditions (Priestley, 1986)"
Nemesia strumosa,orthodox,,,,"seeds not damaged from exposure to liquid nitrogen (Stanwood & Bass, 1981); seeds maintained for 2-3 years in commercial storage conditions (Priestley, 1986)"
Neohymenopogon parasiticus,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 100 to 100%, 14 years, 1 collection"
