scientific_name,rank,common_names,has_seed_count,has_longevity,has_viability_constants,has_germination_conditions,dataset_count,datasets
Abelmoschus esculentus,species,gumbo; ladies fingers; okra,yes,yes,,yes,4,johnnys_longevity; osborne_viability; unl_g2090_counts; unl_g2090_germination
Abies alba,species,fir,yes,,,,1,wpsm_woody_counts
Abies amabilis,species,fir,yes,,,,1,wpsm_woody_counts
Abies balsamea,species,fir,yes,,,,1,wpsm_woody_counts
Abies concolor,species,fir,yes,,,,1,wpsm_woody_counts
Abies firma,species,fir,yes,,,,1,wpsm_woody_counts
Abies fraseri,species,fir,yes,,,,1,wpsm_woody_counts
Abies grandis,species,fir,yes,,,,1,wpsm_woody_counts
Abies guatemalensis,species,fir,yes,,,,1,wpsm_woody_counts
Abies homolepis,species,fir,yes,,,,1,wpsm_woody_counts
Abies lasiocarpa,species,fir,yes,,,,1,wpsm_woody_counts
Abies magnifica,species,fir,yes,,,,1,wpsm_woody_counts
Abies mariesii,species,fir,yes,,,,1,wpsm_woody_counts
Abies nordmanniana,species,fir,yes,,,,1,wpsm_woody_counts
Abies procera,species,fir,yes,,,,1,wpsm_woody_counts
Abies sachalinensis,species,fir,yes,,,,1,wpsm_woody_counts
Abies veitchii,species,fir,yes,,,,1,wpsm_woody_counts
Acacia angustissima,species,"acacia, prairie - plains germplasm",yes,,,,1,nrcs_conservation_counts
Acacia mangium,species,accacia,yes,,,,1,wpsm_woody_counts
Acacia mearnsii,species,accacia,yes,,,,1,wpsm_woody_counts
Acacia melanoxylon,species,accacia,yes,,,,1,wpsm_woody_counts
Acer circinatum,species,maple,yes,,,,1,wpsm_woody_counts
Acer ginnala,species,maple,yes,,,,1,wpsm_woody_counts
Acer glabrum,species,maple,yes,,,,1,wpsm_woody_counts
Acer macrophyllum,species,maple,yes,,,,1,wpsm_woody_counts
Acer negundo,species,maple,yes,,,,1,wpsm_woody_counts
Acer pensylvanicum,species,maple,yes,,,,1,wpsm_woody_counts
Acer platanoides,species,maple,yes,,yes,,2,kew_viability_constants; wpsm_woody_counts
Acer pseudoplatanus,species,maple,yes,,,,1,wpsm_woody_counts
Acer rubrum,species,maple,yes,,,,1,wpsm_woody_counts
Acer saccharinum,species,maple,yes,,,,2,figshare_tsw_counts; wpsm_woody_counts
Acer saccharum,species,maple,yes,,,,1,wpsm_woody_counts
Acer spicatum,species,maple,yes,,,,1,wpsm_woody_counts
Adenophora liliifolia,species,,yes,,,,1,figshare_tsw_counts
Aethionema saxatile,species,,yes,,,,1,figshare_tsw_counts
Ageratum,genus,ageratum,,yes,,,1,johnnys_longevity
Agropyron smithii,species,"wheatgrass, western",yes,,,,1,nrcs_conservation_counts
Agrostemma,genus,agrostemma (corn cockle),,yes,,,1,johnnys_longevity
Agrostis alba,species,redtop,yes,,,,1,nrcs_conservation_counts
Allium ampeloprasum,species,leek; leeks,yes,yes,,yes,5,johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Allium atropurpureum,species,,yes,,,,1,figshare_tsw_counts
Allium cepa,species,"bulb onion; globe onion; onion; onions; onions, globe",yes,yes,yes,yes,6,johnnys_longevity; kew_viability_constants; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Allium fistulosum,species,"green onion; onion bunching; onions, bunching; scallion; welsh onion",yes,,,,1,osborne_counts
Allium obliquum,species,,yes,,,,1,figshare_tsw_counts
Allium schoenoprasum,species,chives,,yes,,,1,johnnys_longevity
Alnus rubra,species,alder,yes,,,,1,wpsm_woody_counts
Alyssum,genus,alyssum,,yes,,,1,johnnys_longevity
Amaranthus,genus,amaranthus,,yes,,,1,johnnys_longevity
Amaranthus caudatus,species,,yes,,,,1,figshare_tsw_counts
Amaranthus crispus,species,,yes,,,,1,figshare_tsw_counts
Amaranthus graecizans,species,,yes,,,,1,figshare_tsw_counts
Amaranthus hybridus,species,,yes,,,,1,figshare_tsw_counts
Amaranthus powellii,species,,yes,,,,1,figshare_tsw_counts
Amaranthus viridis,species,,yes,,,,1,figshare_tsw_counts
Amelanchier alnifolia,species,serviceberry,yes,,,,1,wpsm_woody_counts
Amelanchier arborea,species,serviceberry,yes,,,,1,wpsm_woody_counts
Amelanchier sanguinea,species,serviceberry,yes,,,,1,wpsm_woody_counts
Ammi,genus,ammi (false queen anne's lace),,yes,,,1,johnnys_longevity
Amorpha californica,species,amorpha or indigobush,yes,,,,1,wpsm_woody_counts
Amorpha canescens,species,amorpha or indigobush,yes,,,,1,wpsm_woody_counts
Amorpha fruticosa,species,amorpha or indigobush,yes,,,,1,wpsm_woody_counts
Amorpha nana,species,amorpha or indigobush,yes,,,,1,wpsm_woody_counts
Andropogon barbinodis,species,"bluestem, cane",yes,,,,1,nrcs_conservation_counts
Andropogon gerardi,species,"bluestem, big; bluestem, big - 'earl'",yes,,,,1,nrcs_conservation_counts
Andropogon hallii,species,"bluestem, sand",yes,,,,1,nrcs_conservation_counts
Andropogon ischaemun,species,"bluestem, king ranch",yes,,,,1,nrcs_conservation_counts
Andropogon littoralis,species,"bluestem, seacoast",yes,,,,1,nrcs_conservation_counts
Andropogon saccharoides,species,"bluestem, silver",yes,,,,1,nrcs_conservation_counts
Andropogon scoparius,species,"bluestem, little",yes,,,,1,nrcs_conservation_counts
Anethum graveolens,species,dill,,yes,,,1,johnnys_longevity
Angelica,genus,angelica,,yes,,,1,johnnys_longevity
Anise,genus,anise,,yes,,,1,johnnys_longevity
Antirrhinum majus,species,,yes,,,,1,figshare_tsw_counts
Apium graveolens,species,celeriac; celery; celery & celeriac; celery root; celery/celeriac; knob celery,yes,yes,,yes,6,figshare_tsw_counts; johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Arabidopsis halleri,species,,yes,,,,1,figshare_tsw_counts
Arabis alpina,species,,yes,,,,1,figshare_tsw_counts
Arachis hypogaea,species,groundnut; peanut,,,yes,,1,kew_viability_constants
Aralia hispida,species,,yes,,,,1,wpsm_woody_counts
Aralia nudicaulis,species,,yes,,,,1,wpsm_woody_counts
Aralia spinosa,species,,yes,,,,1,wpsm_woody_counts
Araucaria columnaris,species,,yes,,yes,,2,kew_viability_constants; wpsm_woody_counts
Araucaria cunninghamii,species,,yes,,yes,,2,kew_viability_constants; wpsm_woody_counts
Araucaria heterophylla,species,,yes,,,,1,wpsm_woody_counts
Arctium nemorosum,species,,yes,,,,1,figshare_tsw_counts
Arctostaphylos glandulosa,species,manzanita,yes,,,,1,wpsm_woody_counts
Arctostaphylos glauca,species,manzanita,yes,,,,1,wpsm_woody_counts
Arctostaphylos patula,species,manzanita,yes,,,,1,wpsm_woody_counts
Arctostaphylos uva-ursi,species,manzanita,yes,,,,1,wpsm_woody_counts
Arenaria leptoclados,species,,yes,,,,1,figshare_tsw_counts
Arnica montana,species,,yes,,,,1,figshare_tsw_counts
Artemisia,genus,artemisia,,yes,,,1,johnnys_longevity
Artemisia alba,species,,yes,,,,1,figshare_tsw_counts
Asclepias,genus,asclepias (butterfly weed),,yes,,,1,johnnys_longevity
Asparagus officinalis,species,asparagus,yes,yes,,yes,5,johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Aster,genus,aster,,yes,,,1,johnnys_longevity
Astrantia major,species,,yes,,,,1,figshare_tsw_counts
Atriplex canescens,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex confertifolia,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex corrugata,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex cuneata,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex falcata,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex gardneri,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex hortensis,species,,yes,,,,1,figshare_tsw_counts
Atriplex hymenelytra,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex lentiformis,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex micrantha,species,,yes,,,,1,figshare_tsw_counts
Atriplex obovata,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex patula,species,,yes,,,,1,figshare_tsw_counts
Atriplex polycarpa,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex rosea,species,,yes,,,,1,figshare_tsw_counts
Atriplex semibaccata,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex tridentata,species,saltbush,yes,,,,1,wpsm_woody_counts
Avena sativa,species,oats,,yes,,,1,johnnys_longevity
Barbarea verna,species,,yes,,,,1,figshare_tsw_counts
Bauhinia monandra,species,,yes,,,,1,wpsm_woody_counts
Bauhinia purpurea,species,,yes,,,,1,wpsm_woody_counts
Bauhinia variegata,species,,yes,,,,1,wpsm_woody_counts
Berberis koreana,species,barberry,yes,,,,1,wpsm_woody_counts
Berberis thunbergii,species,barberry,yes,,,,1,wpsm_woody_counts
Berberis vulgaris,species,barberry,yes,,,,1,wpsm_woody_counts
Beta vulgaris,species,beet; beetroot; beets; chard swiss; garden beet; silverbeet; swiss chard,yes,yes,yes,yes,6,johnnys_longevity; kew_viability_constants; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Betula alleghaniensis,species,birch,yes,,,,1,wpsm_woody_counts
Betula davurica,species,birch,yes,,,,1,wpsm_woody_counts
Betula lenta,species,birch,yes,,,,1,wpsm_woody_counts
Betula nana,species,birch,yes,,,,1,wpsm_woody_counts
Betula nigra,species,birch,yes,,,,1,wpsm_woody_counts
Betula papyrifera,species,birch,yes,,,,1,wpsm_woody_counts
Betula pendula,species,birch,yes,,,,1,wpsm_woody_counts
Betula populifolia,species,birch,yes,,,,1,wpsm_woody_counts
Betula pubescens,species,birch,yes,,,,1,wpsm_woody_counts
Betula pumila,species,birch,yes,,,,1,wpsm_woody_counts
Bidens frondosa,species,,yes,,,,1,figshare_tsw_counts
Bifora radians,species,,yes,,,,1,figshare_tsw_counts
Blitum bonus-henricus,species,,yes,,,,1,figshare_tsw_counts
Blitum virgatum,species,,yes,,,,1,figshare_tsw_counts
Bolboschoenus laticarpus,species,,yes,,,,1,figshare_tsw_counts
Borage,genus,borage,,yes,,,1,johnnys_longevity
Bouteloua curtipendula,species,"grama, sideoats; grama, sideoats - 'haskell'",yes,,,,1,nrcs_conservation_counts
Bouteloua eriopoda,species,"grama, black",yes,,,,1,nrcs_conservation_counts
Bouteloua filiformis,species,"grama, slender",yes,,,,1,nrcs_conservation_counts
Bouteloua gracilis,species,"grama, blue",yes,,,,1,nrcs_conservation_counts
Bouteloua hirsuta,species,"grama, hairy",yes,,,,1,nrcs_conservation_counts
Bouteloua rigidiseta,species,"grama, texas",yes,,,,1,nrcs_conservation_counts
Bouteloua trifida,species,"grama, red",yes,,,,1,nrcs_conservation_counts
Brassica juncea,species,brown mustard; indian mustard; mustard,yes,yes,yes,,5,figshare_tsw_counts; johnnys_longevity; kew_viability_constants; osborne_counts; osborne_viability
Brassica napus,species,canola; oilseed rape; rapeseed; rutabaga; swede,yes,yes,yes,yes,5,johnnys_longevity; kew_viability_constants; osborne_counts; unl_g2090_counts; unl_g2090_germination
Brassica nigra,species,,yes,,,,1,figshare_tsw_counts
Brassica oleracea,species,"broccoli; brussel sprouts; brussels sprouts; cabbage; cabbage, napa; cauliflower; collards; kale; kohlrabi",yes,yes,,yes,6,figshare_tsw_counts; johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Brassica rapa,species,"asian greens; bok choy; cabbage chinese; cabbage, chinese; chinese cabbage; komatsuna; mizuna; napa cabbage; pe-tsai; tatsoi; turnip",yes,yes,,yes,5,johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Bromus catharticus,species,rescuegrass,yes,,,,1,nrcs_conservation_counts
Buchloe dactyloides,species,buffalograss,yes,,,,1,nrcs_conservation_counts
Buphthalmum salicifolium,species,,yes,,,,1,figshare_tsw_counts
Bupleurum rotundifolium,species,,yes,,,,1,figshare_tsw_counts
Calendula,genus,calendula,,yes,,,1,johnnys_longevity
Callistephus chinensis,species,,yes,,,,1,figshare_tsw_counts
Callitriche palustris,species,,yes,,,,1,figshare_tsw_counts
Camelina rumelica,species,,yes,,,,1,figshare_tsw_counts
Capsella rubella,species,,yes,,,,1,figshare_tsw_counts
Capsicum annuum,species,bell pepper; chili; pepper; peppers; sweet pepper,yes,yes,yes,yes,6,johnnys_longevity; osborne_counts; osborne_viability; supplementary_constants_unverified; unl_g2090_counts; unl_g2090_germination
Caragana arborescens,species,,yes,,,,1,figshare_tsw_counts
Caragana frutex,species,,yes,,,,1,figshare_tsw_counts
Caraway,genus,caraway,,yes,,,1,johnnys_longevity
Cardamine amara,species,,yes,,,,1,figshare_tsw_counts
Cardamine occulta,species,,yes,,,,1,figshare_tsw_counts
Cardamine pratensis,species,,yes,,,,1,figshare_tsw_counts
Carduus defloratus,species,,yes,,,,1,figshare_tsw_counts
Carex acuta,species,,yes,,,,1,figshare_tsw_counts
Carex davalliana,species,,yes,,,,1,figshare_tsw_counts
Carex extensa,species,,yes,,,,1,figshare_tsw_counts
Carex hordeistichos,species,,yes,,,,1,figshare_tsw_counts
Carex lepidocarpa,species,,yes,,,,1,figshare_tsw_counts
Carex muricata,species,,yes,,,,1,figshare_tsw_counts
Carnation,genus,carnation,,yes,,,1,johnnys_longevity
Carpinus betulus,species,hornbeam,yes,,,,1,wpsm_woody_counts
Carpinus caroliniana,species,hornbeam,yes,,,,1,wpsm_woody_counts
Carthamus tinctorius,species,,yes,,,,1,figshare_tsw_counts
Carya aquatica,species,hickory,yes,,,,1,wpsm_woody_counts
Carya cordiformis,species,hickory,yes,,,,1,wpsm_woody_counts
Carya glabra,species,hickory,yes,,,,1,wpsm_woody_counts
Carya illinoensis,species,hickory,yes,,,,1,wpsm_woody_counts
Carya laciniosa,species,hickory,yes,,,,1,wpsm_woody_counts
Carya myristiciformis,species,hickory,yes,,,,1,wpsm_woody_counts
Carya ovata,species,hickory,yes,,,,1,wpsm_woody_counts
Castanea dentata,species,chestnut,yes,,,,1,wpsm_woody_counts
Castanea pumilla,species,chestnut,yes,,,,1,wpsm_woody_counts
Castanea sativa,species,chestnut,yes,,,,1,wpsm_woody_counts
Catalpa bignonioides,species,,yes,,,,1,wpsm_woody_counts
Catalpa longissima,species,,yes,,,,1,wpsm_woody_counts
Catalpa speciosa,species,,yes,,,,1,wpsm_woody_counts
Catnip,genus,catnip,,yes,,,1,johnnys_longevity
Ceanothus americanus,species,,yes,,,,1,wpsm_woody_counts
Ceanothus cordulatus,species,,yes,,,,1,wpsm_woody_counts
Ceanothus impressus,species,,yes,,,,1,wpsm_woody_counts
Ceanothus sanguineus,species,,yes,,,,1,wpsm_woody_counts
Ceanothus sorediatus,species,,yes,,,,1,wpsm_woody_counts
Ceanothus velutinus,species,,yes,,,,1,wpsm_woody_counts
Cedrus atlantica,species,cedar,yes,,,,1,wpsm_woody_counts
Cedrus brevifolia,species,cedar,yes,,,,1,wpsm_woody_counts
Cedrus deodara,species,cedar,yes,,,,1,wpsm_woody_counts
Cedrus libani,species,cedar,yes,,,,1,wpsm_woody_counts
Celosia,genus,celosia,,yes,,,1,johnnys_longevity
Celtis laevigata,species,hackberry,yes,,,,1,wpsm_woody_counts
Celtis occidentalis,species,hackberry,yes,,,,1,wpsm_woody_counts
Centaurea,genus,centaurea (bachelor’s buttons),,yes,,,1,johnnys_longevity
Centaurea calcitrapa,species,,yes,,,,1,figshare_tsw_counts
Cerastium arvense,species,,yes,,,,1,figshare_tsw_counts
Cerastium tomentosum,species,,yes,,,,1,figshare_tsw_counts
Ceratophyllum tanaiticum,species,,yes,,,,1,figshare_tsw_counts
Cercis canadensis,species,redbud,yes,,,,1,wpsm_woody_counts
Cercis orbiculata,species,redbud,yes,,,,1,wpsm_woody_counts
Chaerophyllum aureum,species,,yes,,,,1,figshare_tsw_counts
Chamaecrista fasciculata,species,partridgepea - 'comanche',yes,,,,1,nrcs_conservation_counts
Chamaecyparis lawsoniana,species,white-cedar,yes,,,,1,wpsm_woody_counts
Chamaecyparis nootkatensis,species,white-cedar,yes,,,,1,wpsm_woody_counts
Chamaecyparis thyoides,species,white-cedar,yes,,,,1,wpsm_woody_counts
Chamomile,genus,chamomile,,yes,,,1,johnnys_longevity
Chenopodiastrum murale,species,,yes,,,,1,figshare_tsw_counts
Chenopodium opulifolium,species,,yes,,,,1,figshare_tsw_counts
Chenopodium quinoa,species,quinoa,,,yes,,1,kew_viability_constants
Chenopodium suecicum,species,,yes,,,,1,figshare_tsw_counts
Chervil,genus,chervil,,yes,,,1,johnnys_longevity
Chloris cucullata,species,"windmillgrass, hooded",yes,,,,1,nrcs_conservation_counts
Chloris gayana,species,rhodesgrass,yes,,,,1,nrcs_conservation_counts
Chloris subdolichostachya,species,"windmillgrass, shortspike",yes,,,,1,nrcs_conservation_counts
Chloris verticillata,species,"windmillgrass, tumble",yes,,,,1,nrcs_conservation_counts
Chrysothamnus teretifolius,species,rabbitbrush,yes,,,,1,wpsm_woody_counts
Cicer arietinum,species,chickpea; garbanzo; gram,,,yes,,2,dickie_ellis_constants_with_se; kew_viability_constants
Cichorium endivia,species,endive; endive/escarole; escarole; frisee,yes,yes,,yes,5,johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Cichorium intybus,species,chicory; radicchio; witloof,yes,yes,,yes,4,johnnys_longevity; osborne_viability; unl_g2090_counts; unl_g2090_germination
Circaea alpina,species,,yes,,,,1,figshare_tsw_counts
Cirsium rivulare,species,,yes,,,,1,figshare_tsw_counts
Citrullus lanatus,species,watermelon; watermelon (triploid); watermelon seeded seedless,yes,yes,,yes,6,figshare_tsw_counts; johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Clematis columbiana,species,,yes,,,,1,wpsm_woody_counts
Clematis flammula,species,,yes,,,,1,wpsm_woody_counts
Clematis ligusticifolia,species,,yes,,,,1,wpsm_woody_counts
Clematis pauciflora,species,,yes,,,,1,wpsm_woody_counts
Clematis virginiana,species,,yes,,,,1,wpsm_woody_counts
Clematis vitalba,species,,yes,,,,1,wpsm_woody_counts
Clematis viticella,species,,yes,,,,1,wpsm_woody_counts
Clinopodium menthifolium,species,,yes,,,,1,figshare_tsw_counts
Columbine,genus,columbine (aquilegia),,yes,,,1,johnnys_longevity
Coriander,genus,coriander,yes,,,,1,osborne_counts
Coriandrum sativum,species,cilantro; cilantro/coriander; coriander,yes,yes,,,2,figshare_tsw_counts; johnnys_longevity
Corispermum canescens,species,,yes,,,,1,figshare_tsw_counts
Corispermum intermedium,species,,yes,,,,1,figshare_tsw_counts
Corn,genus,"corn; corn, supersweet",yes,yes,,,2,osborne_counts; osborne_viability
Cornus alba,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus alternifolia,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus amomum,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus canadensis,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus drummondii,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus florida,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus kousa,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus mas,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus nuttallii,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus racemosa,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus rugosa,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus sanguinea,species,dogwood,yes,,,,1,wpsm_woody_counts
Cornus sericea,species,dogwood,yes,,,,1,wpsm_woody_counts
Corydalis pumila,species,,yes,,,,1,figshare_tsw_counts
Corylus americana,species,hazel,yes,,,,1,wpsm_woody_counts
Corylus avellana,species,hazel,yes,,,,1,wpsm_woody_counts
Corylus cornuta,species,hazel,yes,,,,1,wpsm_woody_counts
Cosmos,genus,cosmos,,yes,,,1,johnnys_longevity
Cosmos bipinnatus,species,,yes,,,,1,figshare_tsw_counts
Cota austriaca,species,,yes,,,,1,figshare_tsw_counts
Cotinus coggygria,species,,yes,,,,1,figshare_tsw_counts
Cotoneaster acutifolus,species,,yes,,,,1,wpsm_woody_counts
Cotoneaster horizontalis,species,,yes,,,,1,wpsm_woody_counts
Cotoneaster integerrimus,species,,yes,,,,1,wpsm_woody_counts
Cotoneaster lucidus,species,,yes,,,,1,wpsm_woody_counts
Crepis mollis,species,,yes,,,,1,figshare_tsw_counts
Crepis pulchra,species,,yes,,,,1,figshare_tsw_counts
Crepis vesicaria,species,,yes,,,,1,figshare_tsw_counts
Crotalaria juncea,species,"crotalaria, sunn",yes,,,,1,nrcs_conservation_counts
Cucumis melo,species,cantaloupe; honeydew; melon; melons; muskmelon,yes,yes,yes,,5,figshare_tsw_counts; johnnys_longevity; kew_viability_constants; osborne_counts; osborne_viability
Cucumis sativus,species,cucumber; cucumbers,yes,yes,,yes,6,figshare_tsw_counts; johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Cucurbita maxima,species,"buttercup; hubbard; squash winter; squash, winter",yes,yes,,,3,figshare_tsw_counts; osborne_counts; osborne_viability
Cucurbita pepo,species,"courgette; crookneck; gourd; pumpkin; squash & gourds; squash and gourds; squash summer; squash, summer; summer squash; zucchini",yes,yes,yes,yes,7,figshare_tsw_counts; johnnys_longevity; kew_viability_constants; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Cumin,genus,cumin,,yes,,,1,johnnys_longevity
Cupressus arizonica,species,cypress,yes,,,,1,wpsm_woody_counts
Cupressus bakeri,species,cypress,yes,,,,1,wpsm_woody_counts
Cupressus forbesii,species,cypress,yes,,,,1,wpsm_woody_counts
Cupressus goveniana,species,cypress,yes,,,,1,wpsm_woody_counts
Cupressus guadalupensis,species,cypress,yes,,,,1,wpsm_woody_counts
Cupressus lusitanica,species,cypress,yes,,,,1,wpsm_woody_counts
Cupressus macnabiana,species,cypress,yes,,,,1,wpsm_woody_counts
Cupressus macrocarpa,species,cypress,yes,,,,1,wpsm_woody_counts
Cupressus sargentii,species,cypress,yes,,,,1,wpsm_woody_counts
Cupressus sempervirens,species,cypress,yes,,,,1,wpsm_woody_counts
Cupressus torulosa,species,cypress,yes,,,,1,wpsm_woody_counts
Cyanus mollis,species,,yes,,,,1,figshare_tsw_counts
Cymbopogon citratus,species,lemon grass; lemongrass,,yes,,,1,johnnys_longevity
Cynara cardunculus,species,artichoke; artichoke & cardoon; cardoon; globe artichoke,yes,yes,,,3,johnnys_longevity; osborne_counts; osborne_viability
Cynodon dactylon,species,bermudagrass,yes,,,,1,nrcs_conservation_counts
Cynoglossum,genus,cynoglossum (forget-me-not),,yes,,,1,johnnys_longevity
Dahlia,genus,dahlia,,yes,,,1,johnnys_longevity
Daisy,genus,daisy,,yes,,,1,johnnys_longevity
Dandelion,genus,dandelion,,yes,,,1,johnnys_longevity
Datura innoxia,species,,yes,,,,1,figshare_tsw_counts
Daubentonia drummondi,species,"rattlebox, drummond",yes,,,,1,nrcs_conservation_counts
Daucus carota,species,carrot; carrots,yes,yes,,yes,5,johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Delphinium ambiguum,species,delphinium; larkspur,,yes,yes,,2,johnnys_longevity; kew_viability_constants
Desmanthus illinoensis,species,"bundleflower, illinois; bundleflower, illinois - 'sabine'; bundleflower, velvet - hondo germplasm",yes,,,,1,nrcs_conservation_counts
Dianthus,genus,dianthus (sweet william),,yes,,,1,johnnys_longevity
Dianthus barbatus,species,,yes,,,,1,figshare_tsw_counts
Dianthus plumarius,species,,yes,,,,1,figshare_tsw_counts
Didiscus,genus,didiscus,,yes,,,1,johnnys_longevity
Digitalis,genus,digitalis,,yes,,,1,johnnys_longevity
Digitalis purpurea,species,foxglove,yes,,yes,,2,figshare_tsw_counts; kew_viability_constants
Digitaria californica,species,"cottontop, arizona; cottontop, arizona - lasalle germplasm",yes,,,,1,nrcs_conservation_counts
Digitaria patens,species,"cottontop, texas",yes,,,,1,nrcs_conservation_counts
Diospyros kaki,species,persimmon,yes,,,,1,wpsm_woody_counts
Diospyros lotus,species,persimmon,yes,,,,1,wpsm_woody_counts
Diospyros virginiana,species,persimmon,yes,,,,1,wpsm_woody_counts
Diplachne fascicularis,species,,yes,,,,1,figshare_tsw_counts
Dipterocarpus alatus,species,,,,yes,,1,kew_viability_constants
Dipterocarpus intricatus,species,,,,yes,,1,kew_viability_constants
Distichlis stricta,species,"saltgrass, inland",yes,,,,1,nrcs_conservation_counts
Doronicum austriacum,species,,yes,,,,1,figshare_tsw_counts
Dracocephalum ruyschiana,species,,yes,,,,1,figshare_tsw_counts
Dysphania ambrosioides,species,,yes,,,,1,figshare_tsw_counts
Dysphania botrys,species,,yes,,,,1,figshare_tsw_counts
Dysphania pumilio,species,,yes,,,,1,figshare_tsw_counts
Dysphania schraderiana,species,,yes,,,,1,figshare_tsw_counts
Ecballium elaterium,species,,yes,,,,1,figshare_tsw_counts
Echinacea,genus,echinacea (coneflower),,yes,,,1,johnnys_longevity
Echium plantagineum,species,,yes,,,,1,figshare_tsw_counts
Eclipta prostrata,species,,yes,,,,1,figshare_tsw_counts
Elaeagnus angustifolia,species,,yes,,,,1,wpsm_woody_counts
Elaeagnus commutata,species,,yes,,,,1,wpsm_woody_counts
Elaeagnus umbellata,species,,yes,,,,1,wpsm_woody_counts
Eleusine coracana,species,millet finger; ragi,,,yes,,1,kew_viability_constants
Elymus canadensis,species,"wildrye, canada",yes,,,,1,nrcs_conservation_counts
Engelmannia pinnatifida,species,engelmann daisy,yes,,,,1,nrcs_conservation_counts
Entandophragma angolense,species,,,,yes,,1,kew_viability_constants
Epilobium ciliatum,species,,yes,,,,1,figshare_tsw_counts
Epilobium hirsutum,species,,yes,,,,1,figshare_tsw_counts
Epilobium obscurum,species,,yes,,,,1,figshare_tsw_counts
Eragrostis intermedia,species,"lovegrass, plains",yes,,,,1,nrcs_conservation_counts
Eragrostis tef,species,teff,,,yes,,1,kew_viability_constants
Eragrostis tef cv.,species,,,,yes,,1,kew_viability_constants
Eragrostis tef cvs.,species,,,,yes,,1,kew_viability_constants
Eragrostis trichodes,species,"lovegrass, sand; lovegrass, sandhill - 'mason'",yes,,,,1,nrcs_conservation_counts
Erigeron sumatrensis,species,,yes,,,,1,figshare_tsw_counts
Eriochloa sericea,species,"cupgrass, texas",yes,,,,1,nrcs_conservation_counts
Eruca vesicaria,species,arugula; rocket; roquette,yes,yes,,,3,figshare_tsw_counts; johnnys_longevity; osborne_viability
Eryngium,genus,eryngium,,yes,,,1,johnnys_longevity
Erysimum cheiranthoides,species,,yes,,,,1,figshare_tsw_counts
Erysimum crepidifolium,species,,yes,,,,1,figshare_tsw_counts
Erythronium dens-canis,species,,yes,,,,1,figshare_tsw_counts
Eschscholzia californica,species,,yes,,,,1,figshare_tsw_counts
Eucalyptus,genus,eucalyptus,,yes,,,1,johnnys_longevity
Euonymus alata,species,eunoymus,yes,,,,1,wpsm_woody_counts
Euonymus americana,species,eunoymus,yes,,,,1,wpsm_woody_counts
Euonymus bungeana,species,eunoymus,yes,,,,1,wpsm_woody_counts
Euonymus europaea,species,eunoymus,yes,,,,1,wpsm_woody_counts
Euonymus obovata,species,eunoymus,yes,,,,1,wpsm_woody_counts
Euonymus verrucosa,species,eunoymus,yes,,,,1,wpsm_woody_counts
Euphorbia,genus,euphorbia,,yes,,,1,johnnys_longevity
Euphorbia lathyris,species,,yes,,,,1,figshare_tsw_counts
Euphorbia prostrata,species,,yes,,,,1,figshare_tsw_counts
Euphorbia serpens,species,,yes,,,,1,figshare_tsw_counts
Fagopyrum esculentum,species,buckwheat,,yes,,,1,johnnys_longevity
