scientific_name,rank,common_names,has_seed_count,has_longevity,has_viability_constants,has_germination_conditions,dataset_count,datasets
Ribes lacustre,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Ribes missouriense,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Ribes montigenum,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Ribes nevadense,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Ribes roezlii,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Ribes sanguineum,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Ribes viscosissimum,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Robinia hispida,species,locust,yes,,,,1,wpsm_woody_counts
Robinia neomexicana,species,locust,yes,,,,1,wpsm_woody_counts
Robinia pseudoacacia,species,locust,yes,,,,1,wpsm_woody_counts
Rorippa amphibia,species,,yes,,,,1,figshare_tsw_counts
Rorippa austriaca,species,,yes,,,,1,figshare_tsw_counts
Rosa acicularis,species,rose,yes,,,,1,wpsm_woody_counts
Rosa blanda,species,rose,yes,,,,1,wpsm_woody_counts
Rosa californica,species,rose,yes,,,,1,wpsm_woody_counts
Rosa canina,species,rose,yes,,,,1,wpsm_woody_counts
Rosa eglanteria,species,rose,yes,,,,1,wpsm_woody_counts
Rosa gymnocarpa,species,rose,yes,,,,1,wpsm_woody_counts
Rosa multiflora,species,rose,yes,,,,1,wpsm_woody_counts
Rosa nutkana,species,rose,yes,,,,1,wpsm_woody_counts
Rosa rugosa,species,rose,yes,,,,1,wpsm_woody_counts
Rosa setigera,species,rose,yes,,,,1,wpsm_woody_counts
Rosa wichuriana,species,rose,yes,,,,1,wpsm_woody_counts
Rosa woodsii,species,rose,yes,,,,1,wpsm_woody_counts
Rosemary,genus,rosemary,,yes,,,1,johnnys_longevity
Rubus allegheniensis,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rubus arcticus,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
